Period,Quarter,Year
201701,Q1 2017,2017
201702,Q1 2017,2017
201703,Q1 2017,2017
201704,Q2 2017,2017
201705,Q2 2017,2017
201706,Q2 2017,2017
201707,Q3 2017,2017
201708,Q3 2017,2017
201709,Q3 2017,2017
201710,Q4 2017,2017
201711,Q4 2017,2017
201712,Q4 2017,2017
201801,Q1 2018,2018
201802,Q1 2018,2018
201803,Q1 2018,2018
201804,Q2 2018,2018
201805,Q2 2018,2018
201806,Q2 2018,2018
201807,Q3 2018,2018
201808,Q3 2018,2018
201809,Q3 2018,2018
201810,Q4 2018,2018
201811,Q4 2018,2018
201812,Q4 2018,2018
201901,Q1 2019,2019
201902,Q1 2019,2019
201903,Q1 2019,2019
201904,Q2 2019,2019
201905,Q2 2019,2019
201906,Q2 2019,2019
201907,Q3 2019,2019
201908,Q3 2019,2019
201909,Q3 2019,2019
201910,Q4 2019,2019
201911,Q4 2019,2019
201912,Q4 2019,2019
202001,Q1 2020,2020
202002,Q1 2020,2020
202003,Q1 2020,2020
202004,Q2 2020,2020
202005,Q2 2020,2020
202006,Q2 2020,2020
202007,Q3 2020,2020
202008,Q3 2020,2020
202009,Q3 2020,2020
202010,Q4 2020,2020
202011,Q4 2020,2020
202012,Q4 2020,2020
202101,Q1 2021,2021
202102,Q1 2021,2021
202103,Q1 2021,2021
202104,Q2 2021,2021
202105,Q2 2021,2021
202106,Q2 2021,2021
202107,Q3 2021,2021
202108,Q3 2021,2021
202109,Q3 2021,2021
202110,Q4 2021,2021
202111,Q4 2021,2021
202112,Q4 2021,2021
202201,Q1 2022,2022
202202,Q1 2022,2022
202203,Q1 2022,2022
202204,Q2 2022,2022
202205,Q2 2022,2022
202206,Q2 2022,2022
202207,Q3 2022,2022
202208,Q3 2022,2022
202209,Q3 2022,2022
202210,Q4 2022,2022
202211,Q4 2022,2022
202212,Q4 2022,2022
202301,Q1 2023,2023
202302,Q1 2023,2023
202303,Q1 2023,2023
202304,Q2 2023,2023
202305,Q2 2023,2023
202306,Q2 2023,2023
202307,Q3 2023,2023
202308,Q3 2023,2023
202309,Q3 2023,2023
202310,Q4 2023,2023
202311,Q4 2023,2023
202312,Q4 2023,2023
202401,Q1 2024,2024
202402,Q1 2024,2024
202403,Q1 2024,2024
202404,Q2 2024,2024
202405,Q2 2024,2024
202406,Q2 2024,2024
202407,Q3 2024,2024
202408,Q3 2024,2024
202409,Q3 2024,2024
202410,Q4 2024,2024
202411,Q4 2024,2024
202412,Q4 2024,2024
202501,Q1 2025,2025
202502,Q1 2025,2025
202503,Q1 2025,2025
202504,Q2 2025,2025
202505,Q2 2025,2025
202506,Q2 2025,2025
202507,Q3 2025,2025
202508,Q3 2025,2025
202509,Q3 2025,2025
202510,Q4 2025,2025
202511,Q4 2025,2025
202512,Q4 2025,2025
